0,1,2
58.78422152,-1,31534
-20.84543288,-1,23771
15.08225558,1,31274
751.4691339,1,25076
-56.88616017,-1,115434
271.98643,-1,84383
-243.956573,1,81007
-55.61579032,1,51875
4.373020132,1,43435
-2.663705894,1,34249
132.0530197,-1,48188
-38.18123835,1,48513
-40.40202231,-1,55564
27.14410531,1,43951
-23.16005305,1,33641
110.5252497,-1,74078
-42.65532465,1,49869
93.85568183,1,46366
618.962574,-1,45036
-40.94695117,-1,60716
283.9139379,-1,123861
-79.08235538,-1,88305
241.2817205,-1,96016
17.53385296,-1,128498
-10.68647498,-1,109599
225.4567334,1,76541
-94.09633727,-1,63548
-90.726748,-1,70291
-26.16664949,-1,46763
-1.737818133,1,38019
91.02225012,-1,47192
-41.93198485,-1,54267
40.59510591,-1,47465
24.61905659,1,58174
29.68980202,1,51032
32.93317152,1,45503
-16.9004134,1,72849
-5.747328081,-1,47889
-14.95382307,-1,48502
4.29232313,1,31967
49.59312037,1,32255
-11.47845657,1,39162
113.0353064,-1,44072
-111.4214498,1,63601
0.643648667,1,46680
82.37177951,-1,28317
-36.57689646,-1,36214
48.81505833,1,31867
485.7077675,-1,37722
-7.413881689,1,124141
71.03705076,1,76038
57.45111545,1,49612
143.4636262,1,52019
0.030889252,1,72205
193.3448598,1,39989
283.6675742,1,52204
-249.8799618,-1,64591
-67.51036255,1,47714
-7.265580935,-1,50656
313.0954532,-1,45988
-129.4443482,-1,52473
135.1108702,1,65428
-196.9042274,-1,90709
-6.818630021,1,58978
107.9882714,1,50925
-57.76769463,-1,67126
12.43202731,1,49549
41.82065865,1,43298
29.28243215,-1,50040
275.727611,1,43978
-100.3672777,1,74535
60.38261749,-1,51911
-139.5344725,-1,60402
16.56006156,-1,50582
229.3272461,-1,75420
9.472269292,-1,98995
-11.61277806,1,88168
-111.9828384,-1,88289
-6.495347614,1,83409
126.4874401,1,105578
-96.30918007,1,64179
4.499805383,1,53389
62.41992942,1,30652
18.12387475,1,50764
32.51449277,-1,38158
79.2988293,-1,43658
-13.43025507,1,42601
-52.66493215,-1,48330
-2.827185198,-1,44794
53.1039032,-1,25991
37.57484545,-1,37234
-42.49803862,1,64570
-11.23978162,1,34595
-12.03158445,-1,35349
31.56248415,-1,30171
27.09331934,1,39888
11.3511481,1,38577
86.4596784,-1,37355
9.468090051,1,56148
39.61657225,-1,35855
-49.21415463,-1,38666
13.88926192,-1,28877
40.84547134,-1,26742
-18.79185847,1,37486
20.32101354,1,52546
16.71768238,-1,46256
377.6554376,1,47548
-276.9628282,-1,113539
14.61519339,-1,79081
45.82141245,-1,36540
-9.98166477,1,32039
0.660365741,1,40235
28.55315451,1,56891
3.214606744,-1,30833
11.83150487,-1,32043
-5.994098304,-1,25723
