,0,1,2
166,0.5132116536,1,44072.0
167,0.5196092759,-1,63601.0
168,0.49822207,1,46680.0
169,0.478706848,1,28317.0
170,0.5454479159,-1,36214.0
171,0.4639848497,-1,31867.0
172,0.4966822702,1,37722.0
173,0.4834364945,-1,124141.0
174,0.4860430741,1,76038.0
175,0.5116149409,1,49612.0
176,0.5334838679,1,52019.0
177,0.5243679815,1,72205.0
178,0.5758633991,1,39989.0
179,0.5040199348,1,52204.0
180,0.5106114405,1,64591.0
181,0.5213076025,-1,47714.0
182,0.4759986198,1,50656.0
183,0.5905236639,-1,45988.0
184,0.4994183613,-1,52473.0
185,0.4638301927,-1,65428.0
186,0.4934217647,1,90709.0
187,0.5203303944,-1,58978.0
188,0.5738762715,1,50925.0
189,0.5086877851,1,67126.0
190,0.4853275557,-1,49549.0
191,0.4577762551,1,43298.0
192,0.507272244,1,50040.0
193,0.5140948177,-1,43978.0
194,0.4604536903,1,74535.0
195,0.4730241942,1,51911.0
196,0.5145324498,-1,60402.0
197,0.4649024519,-1,50582.0
198,0.4978542993,-1,75420.0
199,0.4714653702,-1,98995.0
200,0.4702274488,-1,88168.0
201,0.4697618453,1,88289.0
202,0.4828755285,-1,83409.0
203,0.5320138475,1,105578.0
204,0.5250816053,1,64179.0
205,0.5235484143,1,53389.0
206,0.6095738769,1,30652.0
207,0.5539475383,1,50764.0
208,0.6188293911,1,38158.0
209,0.5038352324,-1,43658.0
210,0.5453097652,-1,42601.0
211,0.5417429762,1,48330.0
212,0.5632128009,-1,44794.0
213,0.5195656032,-1,25991.0
214,0.5277609095,-1,37234.0
215,0.5358719845,-1,64570.0
216,0.5517066732,1,34595.0
217,0.555034159,1,35349.0
218,0.4515864308,-1,30171.0
219,0.5556300428,-1,39888.0
220,0.5226977183,1,38577.0
221,0.5217772108,1,37355.0
222,0.4761614786,-1,56148.0
223,0.4650178413,1,35855.0
224,0.4859529977,-1,38666.0
225,0.5094713111,-1,28877.0
226,0.4785455214,-1,26742.0
227,0.5369372812,-1,37486.0
228,0.6360634186,1,52546.0
229,0.4643552166,1,46256.0
230,0.4210716565,-1,47548.0
231,0.4608969551,1,113539.0
232,0.4436042578,-1,79081.0
233,0.5835232649,-1,36540.0
234,0.4604449176,-1,32039.0
235,0.5166178129,1,40235.0
236,0.5450392614,1,56891.0
237,0.5197951059,1,30833.0
238,0.5336417683,-1,32043.0
239,0.4876327182,-1,25723.0
240,0.4723431578,-1,30713.0
241,0.6207298509,-1,27549.0
242,0.4709729792,-1,32939.0
