,0,1
192,165.8780237773,1
193,102.3048687136,-1
194,378.0324797157,1
195,277.6652020134,1
196,338.0478195047,-1
197,198.5133469768,-1
198,103.0558399477,-1
199,332.3830860184,-1
200,341.85535531,-1
201,330.2425772496,1
202,218.2597388866,-1
203,44.6891631875,1
204,171.1766033162,1
205,74.8674232505,1
206,26.2116767047,1
207,88.6316061265,1
208,36.5109340729,1
209,69.0254268434,-1
210,148.3242561459,-1
211,134.8940010795,1
212,82.2290689303,-1
213,20.7826241264,-1
214,73.8865273235,-1
215,111.4613727725,-1
216,68.9633341518,1
217,57.7235525317,1
218,13.9991793544,-1
219,45.5616635084,-1
220,72.6549828468,1
221,84.0061309441,1
222,170.4658093475,-1
223,48.82687334,1
224,88.4434455866,-1
225,39.2292909541,-1
226,53.1185528718,-1
227,93.9640242101,-1
228,62.3342150189,1
229,82.6552285599,1
230,99.372910937,-1
231,477.0283485088,1
232,200.0655202597,-1
233,16.3386514166,-1
234,62.1600638698,-1
235,52.1783990994,1
236,11.9908637505,1
237,40.5440182581,1
238,43.7586250019,-1
239,55.590129871,-1
240,49.5960315675,-1
241,13.0353268683,-1
242,48.9811898347,-1
243,71.955799287,-1
244,154.3405696061,1
245,143.0844978243,-1
246,40.1012119113,1
247,90.5166519559,1
248,41.3308312848,1
249,37.496509908,-1
250,51.7668101827,-1
251,22.7222472255,1
252,103.2739928409,1
253,76.7930290918,-1
254,1.0532443933,1
255,67.4122154955,1
256,65.4123154881,-1
257,47.9240683645,1
258,66.8301688347,1
259,17.4524030536,1
260,108.6696504118,1
261,95.7868426664,-1
262,68.5698992088,-1
263,38.8441825565,1
264,11.7196242735,-1
265,45.0853250942,1
266,69.9450951021,-1
267,71.0074858567,-1
268,60.053384615,1
269,35.7620229026,1
270,123.8349664918,-1
271,85.6322897152,-1
272,90.5007372031,1
273,94.9414198861,-1
274,22.9935995815,1
275,238.9462527686,1
276,165.4462737487,-1
277,490.6094279684,-1
278,238.7989702732,-1
279,58.943879512,-1
280,103.8547402433,1
281,286.8283302083,-1
282,161.8657521892,-1
283,155.2267037341,-1
284,30.2091594078,-1
285,193.0857048353,1
286,122.6779050512,-1
287,121.0155694297,1
288,17.9349198616,-1
289,119.5937149595,-1
290,138.8484190448,-1
291,277.9691969259,-1
292,235.1927666765,1
293,22.0268401443,-1
294,158.3281194443,-1
295,314.9485943331,-1
296,166.2343819884,1
297,160.2927031031,1
298,26.319239608,1
299,58.8448179393,-1
300,80.1690479141,-1
301,121.4177139493,1
302,48.8634466813,1
303,20.8462306784,1
304,85.1498405202,-1
305,80.1927622694,-1
306,56.5806964287,1
307,73.1212505639,1
308,25.9134531516,-1
309,176.3896668998,1
310,62.9175381631,-1
311,48.0114602307,-1
312,49.9510909226,1
313,21.526107139,-1
314,96.7357282902,1
315,51.4470827464,-1
316,77.0876454616,-1
317,162.8770932278,-1
318,37.1438665616,-1
319,127.0432685686,1
320,70.7901604103,-1
321,68.9231049293,1
322,48.1967229323,-1
323,0.9957108498,-1
324,1.6113330019,1
325,4.2623077295,-1
326,152.4414650492,-1
327,148.1460182028,-1
328,49.0870076139,1
